Num_obs,rms,Arc_length,likely_or_possible_mislinkage,Principal_desig,assumed good instead of human labeled?
12,0.43,15,0,2023 UQ87,
16,0.35,14,1,2006 JE41,
13,0.23,21,1,2006 XQ30,
12,0.81,2,0,2007 FU13,
12,0.48,36,1,2007 TD441,
15,0.26,60,0,2009 JC12,
15,0.56,15,1,2014 FM6,
17,0.15,53,0,2017 PZ20,
11,0,27,1,1997 CW29,
7,0.17,64,1,2004 OL12,
7,0.41,11,1,2005 GZ190,
30,0.76,16,0,2024 YH1,
25,0.4,37,0,2002 RS74,
13,0.94,54,1,2015 HV123,
18,0.31,29,0,2020 UL36,
13,0.18,30,0,2021 RR79,
9,0.49,13,0,2023 TQ147,
13,0.72,31,0,2024 QX30,
12,0.95,20,1,2024 RK153,
10,0.07,21,1,2014 EE114,
10,0.25,14,1,2017 UR47,
10,0.23,25,1,2017 XR16,
4,0.16,32,1,2023 FQ61,
17,0.35,14,0,2023 RR50,
11,0.5,34,0,2023 TU107,
11,0.72,7,0,2024 RX151,
14,0.68,18,0,2025 WW15,
15,0.44,7,0,2000 SG232,
8,0.32,66,1,2002 GN32,
4,0.14,32,1,2003 UQ292,
12,0.3,14,1,2005 UO529,
18,0.39,11,1,2014 QU387,
11,0.23,12,0,2016 DH9,
11,0.12,9,0,2016 GV47,
10,0.26,9,0,2016 GU70,
13,0.12,9,0,2016 GX71,
19,0.3,33,0,2019 SS99,
15,0.4,25,0,2016 PO279,
9,0.82,26,1,2020 RK176,
11,0.17,39,1,2021 GH129,
12,0.6,31,1,2021 UJ124,
9,0.88,39,1,2017 QD211,
8,0.79,25,1,2021 VH90,
13,0.71,35,0,2020 RX114,
18,0.51,23,0,2024 HA7,
15,0.64,30,1,2022 SJ237,
17,0.81,38,0,2016 RF108,
15,1,23,0,2020 VN25,
10,0.25,4,0,2012 VK152,
17,0.84,35,0,2020 PD85,
13,0.42,33,0,2025 XF18,
4,0.12,21,1,2000 CY105,
10,0.39,13,0,2018 RG98,
7,0.47,13,0,2018 RA117,
15,0.9,33,0,2022 OZ24,
14,0.3,16,0,2019 PT49,
13,0.78,36,0,2022 RN83,
20,0.36,13,0,2016 FG1,
19,0.87,3,1,2019 QG125,
13,0.95,53,0,2016 NJ205,
16,0.19,13,0,2020 RR81,
9,0.27,31,1,2023 TN92,
16,0.55,27,0,2016 CT159,
19,0.4,12,0,2013 TC,
13,0.48,25,0,2017 BS217,
12,0.16,33,0,2019 WX27,
16,0.18,22,0,2013 TE216,
18,0.8,32,0,2022 QA171,
8,0.74,34,1,2019 OW47,
18,0.96,28,0,2021 TH144,
19,0.39,14,0,2017 EM62,
12,0.72,41,0,2025 SP136,
13,0.77,13,0,2022 SD81,
18,0.77,34,0,2021 QK87,
11,0.36,14,0,2025 UJ24,
20,0.25,21,0,2018 VW135,
14,0.78,24,0,2022 RY38,
6,0.3,2,1,2002 PM153,
11,0.3,13,0,2022 QS46,
7,0.85,4,0,2018 BY63,
15,0.24,14,0,2016 SE94,
19,0.81,3,0,2024 SF3,
18,0.63,33,1,2021 SD90,
15,0.41,11,0,2015 FQ503,
16,0.65,23,0,2024 RS69,
11,0.94,33,1,2018 PZ147,
13,0.3,1,1,2011 CJ33,
15,0.84,37,1,2018 PP147,
12,0.17,23,0,2020 KG55,
9,0.17,30,0,2023 UM77,
6,0.25,4,0,2014 EK265,
14,0.81,26,0,2018 UC48,
18,0.83,34,0,2021 JS7,
10,1.09,24,1,2015 PA265,
12,0.83,29,1,2024 QE39,
18,0.83,25,0,2024 WF20,
20,0.97,65,0,2025 QG87,
14,0.86,11,0,2018 BW87,
16,0.27,31,0,2017 TA32,
15,0.27,7,0,2006 QK33,
15,0.62,13,0,2022 UQ50,
12,0.37,5,1,2012 BP116,
13,0.74,28,0,2015 KP335,
13,0.89,28,0,2022 KX8,
19,0.38,34,0,2016 RV19,
7,0.76,11,0,2021 VO87,
14,0.16,19,0,2015 PH188,
15,0.38,21,0,2012 VJ26,
17,0.6,25,0,2025 UG111,
14,0.6,7,0,2005 UA260,
15,0.33,14,0,2021 UX34,
9,0.91,31,1,2017 AM65,
16,0.88,32,0,2017 SL350,
10,0.79,21,1,2017 BA218,
12,0.86,16,0,2022 QA239,
12,0.55,48,0,2022 QY263,
16,0.87,29,0,2022 QY31,
9,1.32,69,0,2020 MU54,
18,0.33,37,0,2023 RL47,
20,0.85,11,0,2022 SL29,
13,0.85,52,0,2018 PL144,
15,0.94,37,1,2018 LA50,
11,0.81,40,0,2021 TU178,
17,0.13,19,0,2016 EU340,
17,0.97,1,0,2022 SE,
16,0.1,14,0,2019 KT37,
15,0.88,36,0,2018 PC101,
